bd
Unknown Command! (H for help)
B0> bd

MESSAGE: Download initiated press ESC to quit
*B0 B1 0000001DB0 23-06-2023 07:41:45
*B0 B1 0000001DB0 23-06-2023 08:41:45
*B0 B1 0000001DB0 23-06-2023 09:41:46
*B0 B1 0000001DB0 23-06-2023 10:41:46
*B0 B1 0000001DB0 23-06-2023 11:41:46
*B0 B1 0000001DB0 23-06-2023 12:41:46
*B0 B1 0000001DB0 23-06-2023 13:41:46
*B0 B1 0000001DB0 23-06-2023 14:41:46
*B0 B1 0000001DB0 23-06-2023 15:41:47
*B0 B1 0000001DB0 23-06-2023 16:41:47
*B0 B1 0000001DB0 23-06-2023 17:41:47
*B0 B1 0000001DB0 23-06-2023 18:41:47
*B0 B1 0000001DB0 23-06-2023 19:41:47
*B0 B1 0000001DB0 23-06-2023 21:41:48
*B0 B1 0000001DB0 23-06-2023 22:41:48
*B0 B1 0000001DB0 23-06-2023 23:41:49
*B0 B1 0000001DB0 24-06-2023 01:41:49
*B0 B1 0000001DB0 24-06-2023 03:41:50
*B0 B1 0000001DB0 24-06-2023 06:41:51
*B0 B1 0000001DB0 24-06-2023 07:41:51
*B0 B1 0000001DB0 24-06-2023 08:41:51
*B0 B1 0000001DB0 24-06-2023 09:41:51
*B0 B1 0000001DB0 24-06-2023 10:41:52
*B0 B1 0000001DB0 24-06-2023 11:41:53
*B0 B1 0000001DB0 24-06-2023 12:41:52
*B0 B1 0000001DB0 24-06-2023 13:41:52
*B0 B1 0000001DB0 24-06-2023 14:41:52
*B0 B1 0000001DB0 24-06-2023 15:41:53
*B0 B1 0000001DB0 24-06-2023 16:41:53
*B0 B1 0000001DB0 24-06-2023 17:41:53
*B0 B1 0000001DB0 24-06-2023 18:41:53
*B0 B1 0000001DB0 24-06-2023 19:41:53
*B0 B1 0000001DB0 24-06-2023 23:41:55
*B0 B1 0000001DB0 25-06-2023 00:41:55
*B0 B1 0000001DB0 25-06-2023 01:41:55
*B0 B1 0000001DB0 25-06-2023 02:41:55
*B0 B1 0000001DB0 25-06-2023 03:41:56
*B0 B1 0000001DB0 25-06-2023 04:41:56
*B0 B1 0000001DB0 25-06-2023 05:41:56
*B0 B1 0000001DB0 25-06-2023 06:41:57
*B0 B1 0000001DB0 25-06-2023 07:41:57
*B0 B1 0000001DB0 25-06-2023 08:41:57
*B0 B1 0000001DB0 25-06-2023 09:41:57
*B0 B1 0000001DB0 25-06-2023 11:41:58
*B0 B1 0000001DB0 25-06-2023 12:41:58
*B0 B1 0000001DB0 25-06-2023 13:41:58
*B0 B1 0000001DB0 25-06-2023 14:41:58
*B0 B1 0000001DB0 25-06-2023 15:41:58
*B0 B1 0000001DB0 25-06-2023 16:41:59
*B0 B1 0000001DB0 25-06-2023 17:41:59
*B0 B1 0000001DB0 25-06-2023 18:41:59
*B0 B1 0000001DB0 25-06-2023 19:41:59
*B0 B1 0000001DB0 25-06-2023 20:41:59
*B0 B1 0000001DB0 25-06-2023 21:42:00
*B0 B1 0000001DB0 25-06-2023 22:42:00
*B0 B1 0000001DB0 25-06-2023 23:42:00
*B0 B1 0000001DB0 26-06-2023 00:42:01
*B0 B1 0000001DB0 26-06-2023 01:42:01
*B0 B1 0000001DB0 26-06-2023 02:42:01
*B0 B1 0000001DB0 26-06-2023 03:42:01
*B0 B1 0000001DB0 26-06-2023 04:42:02
*B0 B1 0000001DB0 26-06-2023 05:42:02
*B0 B1 0000001DB0 26-06-2023 06:42:02
*B0 B1 0000001DB0 26-06-2023 07:42:03
*B0 B1 0000001DB0 26-06-2023 08:42:03
*B0 B1 0000001DB0 26-06-2023 09:40:13
*B0 B1 0000001DB0 26-06-2023 10:40:13
*B0 B1 0000001DB0 26-06-2023 11:40:13
*B0 B1 0000001DB0 26-06-2023 12:40:14
*B0 B1 0000001DB0 26-06-2023 13:40:14
*B0 B1 0000001DB0 26-06-2023 14:40:14
*B0 B1 0000001DB0 26-06-2023 15:40:14
*B0 B1 0000001DB0 26-06-2023 16:40:14
*B0 B1 0000001DB0 26-06-2023 17:40:14
*B0 B1 0000001DB0 26-06-2023 18:40:15
*B0 B1 0000001DB0 26-06-2023 19:40:15
*B0 B1 0000001DB0 26-06-2023 20:40:15
*B0 B1 0000001DB0 26-06-2023 22:40:16
*B0 B1 0000001DB0 26-06-2023 23:40:16
*B0 B1 0000001DB0 27-06-2023 00:40:16
*B0 B1 0000001DB0 27-06-2023 01:40:16
*B0 B1 0000001DB0 27-06-2023 02:40:17
*B0 B1 0000001DB0 27-06-2023 03:40:17
*B0 B1 0000001DB0 27-06-2023 04:40:17
*B0 B1 0000001DB0 27-06-2023 05:40:18
*B0 B1 0000001DB0 27-06-2023 06:40:18
*B0 B1 0000001DB0 27-06-2023 07:40:18
*B0 B1 0000001DB0 27-06-2023 08:40:18
*B0 B1 0000001DB0 27-06-2023 09:40:19
*B0 B1 0000001DB0 27-06-2023 10:40:19
*B0 B1 0000001DB0 27-06-2023 11:40:19
*B0 B1 0000001DB0 27-06-2023 13:40:19
*B0 B1 0000001DB0 27-06-2023 14:40:20
*B0 B1 0000001DB0 27-06-2023 15:40:20
*B0 B1 0000001DB0 27-06-2023 16:40:20
*B0 B1 0000001DB0 27-06-2023 17:40:20
*B0 B1 0000001DB0 27-06-2023 18:40:20
*B0 B1 0000001DB0 27-06-2023 19:40:21
*B0 B1 0000001DB0 27-06-2023 20:40:21
*B0 B1 0000001DB0 27-06-2023 21:40:21
*B0 B1 0000001DB0 27-06-2023 22:40:21
*B0 B1 0000001DB0 27-06-2023 23:40:22
*B0 B1 0000001DB0 28-06-2023 00:40:22
*B0 B1 0000001DB0 28-06-2023 01:40:22
